I confirm that I voluntarily agree to participate in this study.,Please create a participant code using the first 2 letters of your mother’s name + the last 2 digits of your phone number (example: DA45).,What is your age?,What is your gender?,"How often do you use food-delivery apps (e.g., Wolt / Uber Eats)?","How often do you use AI chatbots (e.g., ChatGPT / Gemini)?",I generally trust AI systems to provide useful recommendations.,AI systems are reliable in decision-support tasks.,I feel confident relying on AI recommendations when choosing among many options.,I am cautious about trusting AI recommendations.,Enter the same participant code you created in the pre-survey.,Did you complete the chatbot task?,I understood why the chatbot recommended these options.,The reasoning behind the ranking was clear.,The explanation was detailed enough for making a decision.,The explanation helped me evaluate the recommendations.,The chatbot’s recommendations were predictable.,I felt safe relying on the chatbot’s recommendations.,I knew when I should trust the chatbot’s recommendation and when I should question it.,The chatbot acted in my best interest.,The chatbot tried to understand my needs and preferences.,I felt the chatbot was willing to help me.,The chatbot is capable of supporting my decision process effectively.,The chatbot performed well in assisting my choice.,"The chatbot provided the information and support I needed to make a good choice (e.g., reflected my preferences/constraints and suggested relevant options).",I can rely on this chatbot.,I trust this chatbot to support my decisions.,I rely on the information provided by this chatbot.,I would use this chatbot feature in a real food-delivery app.,I would use this chatbot again for future food orders.,I would recommend this chatbot feature to others.,Did you follow the chatbot’s top recommendation?
I agree,AL57,25-34,Male,Weekly,Weekly,Agree,Agree,Agree,Disagree,AL57,Yes,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes
I agree,BR02,18-24,Female,Daily,Monthly,Neutral,Agree,Neutral,Neutral,BR02,Yes,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,No
I agree,CT19,25-34,Male,Weekly,Daily,Agree,Agree,Agree,Disagree,CT19,Yes,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Yes
I agree,DV44,35-44,Female,Monthly,Weekly,Neutral,Neutral,Neutral,Agree,DV44,Partially,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No
I agree,EM83,25-34,Male,Daily,Daily,Strongly agree,Agree,Strongly agree,Strongly disagree,EM83,Yes,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Yes
I agree,FN15,18-24,Female,Weekly,Rarely,Neutral,Neutral,Neutral,Agree,FN15,Yes,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No
I agree,GP90,25-34,Male,Weekly,Weekly,Agree,Agree,Agree,Disagree,GP90,Yes,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes
I agree,HQ31,18-24,Female,Daily,Daily,Agree,Strongly agree,Agree,Disagree,HQ31,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Yes
I agree,IR67,35-44,Male,Weekly,Monthly,Agree,Agree,Neutral,Neutral,IR67,Yes,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,No
I agree,JS08,25-34,Female,Weekly,Weekly,Agree,Agree,Agree,Neutral,JS08,Yes,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes
